parameter	value	max_shift_pp	F_rapamycin	F_acarbose	F_canagliflozin	F_17_alpha_estradiol	F_aspirin	F_glycine	combo_rapa_acarb
mtorc1.k_mtorc1_tfeb	0.35	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sirtuin.k_sirt1_direct_boost	0.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
autophagy.w_ampk_autophagy	0.45	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
autophagy.w_gut_autophagy	0.4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
autophagy.k_autophagy_damage_clear	0.3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
dna_repair.k_damage_sasp	0.25	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
dna_repair.k_damage_to_mutation	0.02	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
dna_repair.k_damage_to_senescence	0.15	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
dna_repair.damage_senescence_threshold	0.3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
dna_repair.damage_senescence_width	0.05	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
dna_repair.k_antioxidant_ros_reduction	0.55	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
dna_repair.k_ampk_damage_reduction	0.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
dna_repair.damage_max	2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
methylation.k_ezh2_sirt1_inhibition	0.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
methylation.k_ezh2_ampk_inhibition	0.7	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
methylation.k_tet_akg_boost	0.3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
methylation.k_gut_dnmt_inhibition	0.45	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
methylation.k_osk_demethylation	3.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
methylation.osk_pulse_duration	0.000252	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
methylation.osk_pulse_interval	0.00329	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
methylation.k_osk_efficiency	0.6	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
heteroplasmy.H_floor	0.04	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
heteroplasmy.k_selection_mitophagy	0.08	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
heteroplasmy.mitophagy_pulse_interval	0.00329	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
heteroplasmy.mitophagy_pulse_duration	0.00329	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
senescence.k_senolytic_clear	0.55	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
senescence.senolytic_pulse_interval	0.0154	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
senescence.senolytic_pulse_duration	0.00333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
senescence.k_senolytic_kill_fraction	0.3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
senescence.sen_regrowth_rate	0.1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
senescence.k_ampk_sen_reduction	0.45	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
senescence.k_gut_sen_reduction	0.4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sasp.k_antiinflam_sasp_reduction	0.4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sasp.k_senolytic_sasp_reduction	0.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sasp.SASP_old	0.4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sasp.k_sasp_cd38	0.3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sasp.k_sasp_toxicity	0.2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
cancer.k_mut_proliferation	0.02	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
